USER_NAME|WORKED_DATE|WORKED_TIME
willie.clumpsy|01-07-13|6.7
vinnie.devitto|01-07-13|6.6
tim.letter|01-07-13|7.3
sergey.loz|01-07-13|6.5
rulphio|01-07-13|7.8
ralph.contest|01-07-13|7.7
nataniel.steal|01-07-13|6.9
mark.pumper|01-07-13|7.3
louie.july|01-07-13|7.1
leo.nixijimi|01-07-13|7.4
jorgie.son|01-07-13|7.8
jeorge.kron|01-07-13|7.4
hermez.reggie|01-07-13|7.5
gui.easter|01-07-13|7.5
gerald.krato|01-07-13|5.7
gap.shivas|01-07-13|7
filipoh.yok|01-07-13|6.8
filipo.jack|01-07-13|7.5
ewald.crat|01-07-13|6.5
willie.clumpsy|02-07-13|8.2
vinnie.devitto|02-07-13|6.8
tim.letter|02-07-13|7.4
sergey.loz|02-07-13|6.5
rulphio|02-07-13|7.4
ralph.contest|02-07-13|6.8
nataniel.steal|02-07-13|6.8
mark.pumper|02-07-13|7.1
louie.july|02-07-13|7.2
leo.nixijimi|02-07-13|7.1
jorgie.son|02-07-13|7.8
jeorge.kron|02-07-13|7.5
hermez.reggie|02-07-13|6.2
gui.easter|02-07-13|6.8
gerald.krato|02-07-13|7.5
gap.shivas|02-07-13|7
filipoh.yok|02-07-13|7
filipo.jack|02-07-13|7.5
ewald.crat|02-07-13|6.5
willie.clumpsy|03-07-13|6.8
vinnie.devitto|03-07-13|6.7
tim.letter|03-07-13|7.3
sergey.loz|03-07-13|6.5
rulphio|03-07-13|7.7
ralph.contest|03-07-13|8
nataniel.steal|03-07-13|7
mark.pumper|03-07-13|7.2
louie.july|03-07-13|6.7
leo.nixijimi|03-07-13|7.2
jorgie.son|03-07-13|8
jeorge.kron|03-07-13|6.8
hermez.reggie|03-07-13|6.8
gui.easter|03-07-13|7.7
gerald.krato|03-07-13|7.1
gap.shivas|03-07-13|7
filipoh.yok|03-07-13|6.5
filipo.jack|03-07-13|7.5
ewald.crat|03-07-13|6.5
willie.clumpsy|04-07-13|6.5
vinnie.devitto|04-07-13|7
tim.letter|04-07-13|6.4
sergey.loz|04-07-13|6.5
rulphio|04-07-13|7.9
ralph.contest|04-07-13|7.4
nataniel.steal|04-07-13|6.6
mark.pumper|04-07-13|7.2
louie.july|04-07-13|6.7
leo.nixijimi|04-07-13|7.4
jorgie.son|04-07-13|7.3
jeorge.kron|04-07-13|7.2
hermez.reggie|04-07-13|7
gui.easter|04-07-13|7.6
gerald.krato|04-07-13|7.2
gap.shivas|04-07-13|7
filipoh.yok|04-07-13|7
filipo.jack|04-07-13|7.6
ewald.crat|04-07-13|6.5
willie.clumpsy|05-07-13|6.5
vinnie.devitto|05-07-13|6.6
tim.letter|05-07-13|7.4
sergey.loz|05-07-13|6.5
rulphio|05-07-13|6.8
ralph.contest|05-07-13|4.8
nataniel.steal|05-07-13|6.9
mark.pumper|05-07-13|6.8
